t,y
10.760000,0.233401
10.770000,0.223666
10.780000,0.213908
10.790000,0.204129
10.800000,0.194330
10.810000,0.184511
10.820000,0.174674
10.830000,0.164819
10.840000,0.154947
10.850000,0.145061
10.860000,0.135159
10.870000,0.125245
10.880000,0.115317
10.890000,0.105378
10.900000,0.095429
10.910000,0.085470
10.920000,0.075502
10.930000,0.065527
10.940000,0.055546
10.950000,0.045559
10.960000,0.035567
10.970000,0.025571
10.980000,0.015574
10.990000,0.005574
11.000000,-0.004426
11.010000,-0.014425
11.020000,-0.024423
11.030000,-0.034419
11.040000,-0.044411
11.050000,-0.054399
11.060000,-0.064381
11.070000,-0.074357
11.080000,-0.084325
11.090000,-0.094285
11.100000,-0.104236
11.110000,-0.114176
11.120000,-0.124105
11.130000,-0.134021
11.140000,-0.143924
11.150000,-0.153813
11.160000,-0.163686
11.170000,-0.173543
11.180000,-0.183382
11.190000,-0.193203
11.200000,-0.203005
11.210000,-0.212786
11.220000,-0.222547
11.230000,-0.232284
11.240000,-0.241999
11.250000,-0.251690
11.260000,-0.261355
11.270000,-0.270994
11.280000,-0.280606
11.290000,-0.290190
11.300000,-0.299745
11.310000,-0.309270
11.320000,-0.318765
11.330000,-0.328227
11.340000,-0.337656
11.350000,-0.347052
11.360000,-0.356413
11.370000,-0.365738
11.380000,-0.375027
11.390000,-0.384278
11.400000,-0.393491
11.410000,-0.402664
11.420000,-0.411798
11.430000,-0.420890
11.440000,-0.429939
11.450000,-0.438946
11.460000,-0.447909
11.470000,-0.456828
11.480000,-0.465700
11.490000,-0.474526
11.500000,-0.483305
11.510000,-0.492035
11.520000,-0.500716
11.530000,-0.509347
11.540000,-0.517927
11.550000,-0.526455
11.560000,-0.534931
11.570000,-0.543353
11.580000,-0.551721
11.590000,-0.560033
11.600000,-0.568290
11.610000,-0.576489
11.620000,-0.584631
11.630000,-0.592715
11.640000,-0.600739
11.650000,-0.608704
11.660000,-0.616607
11.670000,-0.624449
11.680000,-0.632228
11.690000,-0.639944
11.700000,-0.647596
11.710000,-0.655184
11.720000,-0.662705
11.730000,-0.670161
11.740000,-0.677550
11.750000,-0.684870
11.760000,-0.692123
11.770000,-0.699306
11.780000,-0.706419
11.790000,-0.713461
11.800000,-0.720432
11.810000,-0.727332
11.820000,-0.734158
11.830000,-0.740911
11.840000,-0.747590
11.850000,-0.754194
11.860000,-0.760723
11.870000,-0.767175
11.880000,-0.773551
11.890000,-0.779850
11.900000,-0.786070
11.910000,-0.792212
11.920000,-0.798275
11.930000,-0.804258
11.940000,-0.810160
11.950000,-0.815982
11.960000,-0.821722
11.970000,-0.827379
11.980000,-0.832954
11.990000,-0.838446
12.000000,-0.843854
12.010000,-0.849177
12.020000,-0.854416
12.030000,-0.859569
12.040000,-0.864636
12.050000,-0.869617
12.060000,-0.874511
12.070000,-0.879317
12.080000,-0.884035
12.090000,-0.888665
12.100000,-0.893206
12.110000,-0.897658
12.120000,-0.902020
12.130000,-0.906292
12.140000,-0.910473
12.150000,-0.914563
12.160000,-0.918561
12.170000,-0.922468
12.180000,-0.926283
12.190000,-0.930005
12.200000,-0.933634
12.210000,-0.937169
12.220000,-0.940611
12.230000,-0.943959
12.240000,-0.947212
12.250000,-0.950371
