y0,y1,
-3.909181e-01,7.974060e-02,
-3.901141e-01,8.352175e-02,
-3.892718e-01,8.729552e-02,
-3.883916e-01,9.106155e-02,
-3.874733e-01,9.481948e-02,
-3.865172e-01,9.856897e-02,
-3.855232e-01,1.023097e-01,
-3.844915e-01,1.060412e-01,
-3.834222e-01,1.097632e-01,
-3.823154e-01,1.134754e-01,
-3.811711e-01,1.171774e-01,
-3.799895e-01,1.208689e-01,
-3.787707e-01,1.245494e-01,
-3.775148e-01,1.282187e-01,
-3.762218e-01,1.318764e-01,
-3.748920e-01,1.355222e-01,
-3.735254e-01,1.391556e-01,
-3.721222e-01,1.427764e-01,
-3.706825e-01,1.463843e-01,
-3.692064e-01,1.499788e-01,
-3.676940e-01,1.535597e-01,
-3.661455e-01,1.571265e-01,
-3.645611e-01,1.606790e-01,
-3.629408e-01,1.642167e-01,
-3.612849e-01,1.677395e-01,
-3.595934e-01,1.712468e-01,
-3.578666e-01,1.747384e-01,
-3.561046e-01,1.782140e-01,
-3.543075e-01,1.816732e-01,
-3.524755e-01,1.851156e-01,
-3.506089e-01,1.885409e-01,
-3.487077e-01,1.919489e-01,
-3.467721e-01,1.953391e-01,
-3.448023e-01,1.987112e-01,
-3.427985e-01,2.020650e-01,
-3.407609e-01,2.054000e-01,
-3.386897e-01,2.087159e-01,
-3.365851e-01,2.120124e-01,
-3.344472e-01,2.152892e-01,
-3.322762e-01,2.185460e-01,
-3.300725e-01,2.217824e-01,
-3.278360e-01,2.249981e-01,
-3.255672e-01,2.281928e-01,
-3.232661e-01,2.313661e-01,
-3.209331e-01,2.345178e-01,
-3.185682e-01,2.376475e-01,
-3.161718e-01,2.407549e-01,
-3.137441e-01,2.438397e-01,
-3.112853e-01,2.469016e-01,
-3.087956e-01,2.499402e-01,
-3.062752e-01,2.529553e-01,
-3.037244e-01,2.559466e-01,
-3.011435e-01,2.589137e-01,
-2.985327e-01,2.618564e-01,
-2.958922e-01,2.647742e-01,
-2.932222e-01,2.676670e-01,
-2.905231e-01,2.705345e-01,
-2.877951e-01,2.733763e-01,
-2.850384e-01,2.761921e-01,
-2.822533e-01,2.789817e-01,
-2.794401e-01,2.817447e-01,
-2.765990e-01,2.844809e-01,
-2.737304e-01,2.871900e-01,
-2.708344e-01,2.898717e-01,
-2.679114e-01,2.925257e-01,
-2.649616e-01,2.951517e-01,
-2.619854e-01,2.977495e-01,
-2.589829e-01,3.003187e-01,
-2.559545e-01,3.028592e-01,
-2.529006e-01,3.053706e-01,
-2.498212e-01,3.078526e-01,
-2.467169e-01,3.103051e-01,
-2.435878e-01,3.127277e-01,
-2.404343e-01,3.151201e-01,
-2.372567e-01,3.174822e-01,
-2.340553e-01,3.198136e-01,
-2.308303e-01,3.221142e-01,
-2.275822e-01,3.243836e-01,
-2.243112e-01,3.266216e-01,
-2.210176e-01,3.288280e-01,
-2.177017e-01,3.310025e-01,
-2.143639e-01,3.331449e-01,
-2.110046e-01,3.352549e-01,
-2.076239e-01,3.373324e-01,
